Vanellus chilensis
Vanellus chilensis
Vanellus chilensis
Vanellus chilensis
Tringa semipalmata
Tringa semipalmata
Tringa semipalmata
Tringa semipalmata
Tringa semipalmata
Tringa melanoleuca
Tringa melanoleuca
Tringa melanoleuca
Tringa melanoleuca
Tringa melanoleuca
Tringa flavipes
Tringa flavipes
Tringa flavipes
Tringa flavipes
Tringa flavipes
Numenius phaeopus
Numenius phaeopus
Numenius phaeopus
Numenius phaeopus
Numenius phaeopus
Himantopus mexicanus
Himantopus mexicanus
Himantopus mexicanus
Himantopus mexicanus
Himantopus mexicanus
Charadrius semipalmatus
Charadrius semipalmatus
Charadrius semipalmatus
Charadrius semipalmatus
Charadrius semipalmatus
Calidris pusilla
Calidris pusilla
Calidris pusilla
Calidris pusilla
Calidris pusilla
Calidris minutilla
Calidris minutilla
Calidris minutilla
Calidris minutilla
Calidris minutilla
Calidris mauri
Calidris mauri
Calidris mauri
Calidris mauri
Calidris mauri
Actitis macularius
Actitis macularius
Actitis macularius
Actitis macularius
Actitis macularius
Sardinella melanura
Sardinella melanura
Glossogobius giuris
Glossogobius giuris
Glossogobius giuris
Glossogobius giuris
Glossogobius giuris
Anguilla bicolor
Anguilla bicolor
Anguilla bicolor
Anguilla bicolor
Anguilla bicolor
Anguilla bicolor
Anguilla bicolor
Anguilla bicolor
Anguilla bicolor
Anguilla bicolor
Anguilla bicolor
Anguilla bicolor
Anguilla bicolor
Anguilla bicolor
Amphiprion nigripes
Stegastes nigricans
Dascyllus aruanus
Abudefduf sordidus
Abudefduf sordidus
Caranx sexfasciatus
Caranx sexfasciatus
Caranx sexfasciatus
Chrysiptera caeruleolineata
Chrysiptera caeruleolineata
Chrysiptera glauca
Chromis weberi
Pomacentrus pavo
Aphareus furca
Rhinomugil corsula
Rhinomugil corsula
Neoscopelus microchir
Parambassis apogonoides
Chanda nama
Ambassis kopsii
Ambassis nalua
Ambassis nalua
Parambassis ranga
Paradoxodacna piratica
Gymnochanda filamentosa
Ambassis nalua
Ambassis interrupta
Ambassis interrupta
Ambassis nalua
Ambassis kopsii
Ambassis interrupta
Ambassis vachellii
Ambassis macracanthus
Parambassis lala
Ambassis interrupta
Parambassis ranga
Ambassis dussumieri
Ambassis vachellii
Parambassis wolffii
Ambassis macracanthus
Gymnochanda filamentosa
Parambassis lala
Ambassis dussumieri
Paradoxodacna piratica
Parambassis apogonoides
Hippocampus erectus
Syngnathus scovelli
Larimichthys crocea
Tetraodon nigroviridis
Tetraodon nigroviridis
Tetraodon nigroviridis
Monopterus albus
Centropomus pectinatus
Centropomus pectinatus
Centropomus pectinatus
Centropomus parallelus
Centropomus parallelus
Centropomus parallelus
Centropomus parallelus
Centropomus parallelus
Centropomus mexicanus
Centropomus parallelus
Centropomus parallelus
Centropomus parallelus
Centropomus parallelus
Centropomus parallelus
Centropomus parallelus
Centropomus parallelus
Enneapterygius hsiojenae
Enneapterygius hsiojenae
Enneapterygius flavoccipitis
Norfolkia brachylepis
Norfolkia brachylepis
Helcogramma striata
Helcogramma striata
Helcogramma inclinata
Helcogramma inclinata
Helcogramma albimacula
Enneapterygius tutuilae
Helcogramma fuscipectoris
Helcogramma albimacula
Enneapterygius similis
Enneapterygius similis
Enneapterygius flavoccipitis
Ceratobregma helenae
Enneapterygius hsiojenae
Enneapterygius erythrosoma
Enneapterygius cheni
Enneapterygius cheni
Enneapterygius erythrosoma
Enneapterygius cheni
Enneapterygius etheostomus
Enneapterygius etheostomus
Eviota guttata
Eviota guttata
Eviota melasma
Eviota melasma
Eviota melasma
Eviota melasma
Eviota karaspila
Eviota teresae
Eviota teresae
Eviota teresae
Eviota teresae
Eviota teresae
Eviota teresae
Tenualosa ilisha
Hyporhamphus quoyi
Hyporhamphus quoyi
Hyporhamphus quoyi
Takifugu flavidus
Stolephorus meteorum
Stolephorus meteorum
Stolephorus meteorum
Alosa pseudoharengus
Alosa pseudoharengus
Alosa pseudoharengus
Alosa pseudoharengus
Alosa pseudoharengus
Alosa pseudoharengus
Alosa pseudoharengus
Alosa pseudoharengus
Priolepis cincta
Lepadichthys geminus
Lepadichthys geminus
Kyphosus vaigiensis
Kyphosus vaigiensis
Kyphosus vaigiensis
Kyphosus vaigiensis
Kyphosus vaigiensis
Bleekeria kallolepis
Bleekeria kallolepis
Trachinotus blochii
Trachinotus anak
Trachinotus blochii
Trachinotus anak
Vinciguerria attenuata
Lampanyctus crocodilus
Cyclothone pygmaea
Cyclothone braueri
Myoxocephalus scorpius
Myoxocephalus scorpioides
Myoxocephalus scorpioides
Myoxocephalus scorpioides
Myoxocephalus quadricornis
Myoxocephalus quadricornis
Myoxocephalus quadricornis
Myoxocephalus quadricornis
Myoxocephalus quadricornis
Myoxocephalus quadricornis
Myoxocephalus quadricornis
Myoxocephalus quadricornis
Epinephelus marginatus
Epinephelus marginatus
Epinephelus marginatus
Epinephelus marginatus
Epinephelus marginatus
Epinephelus marginatus
Epinephelus marginatus
Epinephelus marginatus
Epinephelus marginatus
Epinephelus marginatus
Epinephelus aeneus
Epinephelus aeneus
Epinephelus aeneus
Epinephelus aeneus
Epinephelus aeneus
Epinephelus aeneus
Epinephelus aeneus
Epinephelus aeneus
Epinephelus aeneus
Epinephelus aeneus
Etelis carbunculus
Etelis carbunculus
Etelis carbunculus
Etelis carbunculus
Etelis carbunculus
Etelis carbunculus
Etelis carbunculus
Etelis carbunculus
Etelis carbunculus
Etelis carbunculus
Etelis boweni
Etelis boweni
Etelis boweni
Etelis boweni
Planiliza macrolepis
Synaphobranchus affinis
Synaphobranchus affinis
Somniosus rostratus
Somniosus rostratus
Prionace glauca
Prionace glauca
Periophthalmus kalolo
Periophthalmus kalolo
Periophthalmodon schlosseri
Periophthalmodon schlosseri
Periophthalmodon schlosseri
Periophthalmodon schlosseri
Periophthalmodon schlosseri
Periophthalmodon schlosseri
Periophthalmodon schlosseri
Periophthalmodon schlosseri
Diaphus rafinesquii
Hygophum benoiti
Lobianchia dofleini
Diaphus rafinesquii
Symbolophorus veranyi
Vinciguerria attenuata
Gonichthys cocco
Hygophum benoiti
Hygophum benoiti
Lampanyctus pusillus
Ceratoscopelus maderensis
Lampanyctus crocodilus
Cyclothone braueri
Diaphus holti
Liachirus melanospilos
Pseudupeneus prayensis
Pseudupeneus prayensis
Mullus barbatus
Mullus surmuletus
Mullus surmuletus
Mullus surmuletus
Mullus surmuletus
Mullus surmuletus
Mullus barbatus
Mullus barbatus
Gymnura micrura
Gymnura micrura
Aetobatus narinari
Rhinoptera bonasus
Rhinoptera bonasus
Rhinoptera bonasus
Rhinoptera brasiliensis
Rhinoptera brasiliensis
Hypanus guttatus
Hypanus guttatus
Hypanus berthalutzae
Hypanus berthalutzae
Fontitrygon geijskesi
Carcharhinus acronotus
Carcharhinus falciformis
Carcharhinus falciformis
Carcharhinus porosus
Carcharhinus leucas
Carcharhinus leucas
Carcharhinus plumbeus
Sphyrna mokarran
Sphyrna mokarran
Sphyrna lewini
Sphyrna tiburo
Sphyrna tudes
Rhizoprionodon porosus
Rhizoprionodon porosus
Ginglymostoma cirratum
Cirrhilabrus cyanopleura
Cirrhilabrus cyanopleura
Periophthalmus argentilineatus
Periophthalmus argentilineatus
Periophthalmus argentilineatus
Periophthalmus argentilineatus
Periophthalmus argentilineatus
Periophthalmus argentilineatus
Periophthalmus argentilineatus
Parapristipoma octolineatum
Hippocampus kuda
Hippocampus kuda
Hippocampus kuda
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Scoliodon laticaudus
Lethrinus borbonicus
Lethrinus olivaceus
Pseudaesopia japonica
Pseudaesopia japonica
Zebrias crossolepis
Zebrias crossolepis
Zebrias crossolepis
Heteromycteris japonicus
Heteromycteris japonicus
Heteromycteris japonicus
Heteromycteris japonicus
Zebrias quagga
Zebrias quagga
Zebrias quagga
Zebrias zebrinus
Zebrias zebrinus
Zebrias zebrinus
Zebrias zebrinus
Zebrias zebrinus
Zebrias zebrinus
Zebrias zebrinus
Zebrias zebrinus
Zebrias zebrinus
Zebrias zebrinus
Zebrias zebrinus
Zebrias zebrinus
Zebrias zebrinus
Zebrias zebrinus
Seriola aureovittata
Mirounga leonina
Acanthurus maculiceps
